Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
I've Been Lonely Too Long - Single Version,The Rascals: Essentials,2002-01-01,['The Young Rascals'],"folk rock, singer-songwriter, rock-and-roll, psychedelic rock, classic garage rock, country rock, bubblegum pop, merseybeat",1967,54,128120,33,0.256,0.672,0.717,0.0,0.0707,-5.862,0.0435,123.45,0.758,2,1,4
Born To Be Wild - Single Version,Steppenwolf,1968-01-01,['Steppenwolf'],"rock, singer-songwriter, acid rock, soft rock, proto-metal, classic canadian rock, british blues, classic rock, album rock, hard rock, blues rock",1968,31,212893,70,0.262,0.439,0.734,0.333,0.244,-12.168,0.097,145.703,0.54,2,1,4
Let You Down,Perception,2017-10-06,['NF'],"pop rap, hip hop",2018,29,212120,82,0.312,0.662,0.714,0.0,0.179,-5.68,0.121,147.997,0.464,5,0,4
Magic,From The Album Of The Same Name,1974-01-01,['Pilot'],"glam rock, classic uk pop",1975,32,186333,62,0.345,0.393,0.588,0.0,0.134,-6.68,0.0613,203.145,0.728,9,0,4
Got a Hold on Me,Christine McVie,,['Christine McVie'],"rock keyboard, yacht rock",1984,91,232906,52,0.144,0.75,0.787,1.88e-05,0.0513,-5.127,0.0292,129.37,0.718,4,1,4
All The Stars (with SZA),Black Panther The Album Music From And Inspired By,2018-02-09,"['Kendrick Lamar', 'SZA']","conscious hip hop, rap, hip hop, pop, r&b, west coast rap",2018,47,232186,85,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,0.552,8,1,4
Imma Be (Made Famous by Black Eyed Peas),This Year's Hottest Hits,2010-08-02,['The Future Hit Makers'],,2010,20,258651,0,0.0981,0.595,0.352,0.0,0.359,-11.306,0.378,183.956,0.497,5,0,4
Powder Your Face With Sunshine,The Best Of Evelyn Knight,1998-01-01,"['Evelyn Knight', 'The Stardusters']",,1949,23,134066,16,0.928,0.576,0.252,0.0,0.114,-13.478,0.241,200.463,0.773,5,1,4
Man On Your Mind - Remastered 2022,Time Exposure (Remastered 2022),1981-08-01,['Little River Band'],"country rock, yacht rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1982,92,258066,39,0.0988,0.812,0.697,0.000282,0.0798,-8.741,0.0455,112.856,0.961,4,1,4
Too Many Walls,Move To This (Polydor Expanded Edition),1990-08-14,['Cathy Dennis'],"new wave pop, diva house",1991,74,265800,41,0.36,0.723,0.587,8.83e-05,0.0756,-11.032,0.0265,97.15,0.642,10,1,4
Lonesome Town,Ricky Sings Again (Expanded Edition / Remastered),1959-01-01,['Ricky Nelson'],"doo-wop, rock-and-roll, adult standards, rockabilly",1958,17,134040,63,0.794,0.404,0.193,0.000296,0.103,-12.501,0.0305,77.026,0.273,11,1,4
Shake That,Curtain Call: The Hits (Deluxe Edition),2005-12-06,"['Eminem', 'Nate Dogg']","gangster rap, detroit hip hop, hardcore hip hop, rap, west coast rap, g funk, hip hop",2006,62,274440,76,0.0507,0.963,0.643,4.94e-05,0.157,-5.785,0.117,107.005,0.534,1,0,4
Ain't Understanding Mellow,The Very Best Of Jerry Butler,1992-01-01,"['Jerry Butler', 'Brenda Lee Eager']","soul, motown, philly soul, classic soul, chicago soul",1972,84,260333,38,0.506,0.449,0.456,8.34e-05,0.15,-10.674,0.0278,140.316,0.69,4,0,4
Be Thankful for What You've Got - David Todd Remix (Radio Edit),Be Thankful for What You Got,1980-01-01,['William DeVaughn'],"philly soul, classic soul",1974,60,221733,59,0.00341,0.778,0.481,0.0103,0.105,-13.136,0.0553,107.183,0.878,6,0,4
Twistin' the Night Away,Twistin' the Night Away,,['Sam Cooke'],"vocal jazz, classic soul, soul",1962,23,159853,64,0.691,0.458,0.801,0.0,0.328,-7.83,0.0565,160.547,0.93,9,1,4
Love Of My Life (An Ode To Hip Hop) - Longer Album Version,Go! Common Classics,2010-05-11,"['Erykah Badu', 'Common']","political hip hop, soul, alternative hip hop, hardcore hip hop, conscious hip hop, afrofuturism, alternative r&b, chicago rap, hip hop, neo soul, r&b",2003,78,337573,51,0.134,0.618,0.413,0.000338,0.0913,-9.311,0.398,87.412,0.462,5,0,4
Carnival,Tigerlily,,['Natalie Merchant'],"singer-songwriter, folk, lilith, ectofolk",1995,60,361106,53,0.2,0.601,0.48,0.0955,0.0297,-11.41,0.0732,188.214,0.802,6,0,4
Love Takes Time,Mariah Carey,1990-06-12,['Mariah Carey'],"urban contemporary, dance pop, pop",1990,76,229226,57,0.727,0.403,0.338,0.0,0.0849,-12.371,0.0322,126.23,0.233,8,0,4
